,Airline,Date of Journey,Source,Destination,Route,Dep Time,Arr Time,Duration,Total Stops,Additional Info,Price,Arrival_Time_Hour,Dep_Time_Dummy,Dep_Time_Hour,Arrival_Time_Dummy
0,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,2:50,0,No info,3897,01:10:00,1900-01-01 22:20:00,22:20:00,1900-01-01 01:10:00
1,Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7:25,2,No info,7662,13:15:00,1900-01-01 05:50:00,05:50:00,1900-01-01 13:15:00
2,Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19:00,2,No info,13882,04:25:00,1900-01-01 09:25:00,09:25:00,1900-01-01 04:25:00
3,IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5:25,1,No info,6218,23:30:00,1900-01-01 18:05:00,18:05:00,1900-01-01 23:30:00
4,IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4:45,1,No info,13302,21:35:00,1900-01-01 16:50:00,16:50:00,1900-01-01 21:35:00
5,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00,11:25,2:25,0,No info,3873,11:25:00,1900-01-01 09:00:00,09:00:00,1900-01-01 11:25:00
6,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15:30,1,In-flight meal not included,11087,10:25:00,1900-01-01 18:55:00,18:55:00,1900-01-01 10:25:00
7,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21:5,1,No info,22270,05:05:00,1900-01-01 08:00:00,08:00:00,1900-01-01 05:05:00
8,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25:30,1,In-flight meal not included,11087,10:25:00,1900-01-01 08:55:00,08:55:00,1900-01-01 10:25:00
9,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7:50,1,No info,8625,19:15:00,1900-01-01 11:25:00,11:25:00,1900-01-01 19:15:00
10,Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13:15,1,No info,8907,23:00:00,1900-01-01 09:45:00,09:45:00,1900-01-01 23:00:00
11,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20,22:55,2:35,0,No info,4174,22:55:00,1900-01-01 20:20:00,20:20:00,1900-01-01 22:55:00
12,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40,13:55,2:15,0,No info,4667,13:55:00,1900-01-01 11:40:00,11:40:00,1900-01-01 13:55:00
13,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12:10,1,In-flight meal not included,9663,09:20:00,1900-01-01 21:10:00,21:10:00,1900-01-01 09:20:00
14,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15,19:50,2:35,0,No info,4804,19:50:00,1900-01-01 17:15:00,17:15:00,1900-01-01 19:50:00
15,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26:35,2,No info,14011,19:15:00,1900-01-01 16:40:00,16:40:00,1900-01-01 19:15:00
16,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4:30,1,No info,5830,13:15:00,1900-01-01 08:45:00,08:45:00,1900-01-01 13:15:00
17,Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22:35,1,In-flight meal not included,10262,12:35:00,1900-01-01 14:00:00,14:00:00,1900-01-01 12:35:00
18,Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23:00,2,No info,13381,19:15:00,1900-01-01 20:15:00,20:15:00,1900-01-01 19:15:00
19,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20:35,1,In-flight meal not included,12898,12:35:00,1900-01-01 16:00:00,16:00:00,1900-01-01 12:35:00
20,GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5:10,1,No info,19495,19:20:00,1900-01-01 14:10:00,14:10:00,1900-01-01 19:20:00
21,Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15:20,1,No info,6955,13:20:00,1900-01-01 22:00:00,22:00:00,1900-01-01 13:20:00
22,IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No info,3943,06:50:00,1900-01-01 04:00:00,04:00:00,1900-01-01 06:50:00
23,IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,18:55,21:50,2:55,0,No info,4823,21:50:00,1900-01-01 18:55:00,18:55:00,1900-01-01 21:50:00
